correo|nombre|dire|pais|departamento|prov|dist|ruc|rep|telefono|correo
"""ong - asociacion civil virgen de la medalla milagrosa"" - ong-vmm "||"""ong - asociacion civil virgen de la medalla milagrosa"" - ong-vmm "||"""ong - asociacion civil virgen de la medalla milagrosa"" - ong-vmm "|||||"""ong - asociacion civil virgen de la medalla milagrosa"" - ong-vmm "|"""ong - asociacion civil virgen de la medalla milagrosa"" - ong-vmm "
ong_vmm_nc@hotmail.com |"""ong - asociacion civil virgen de la medalla milagrosa"" - ong-vmm "|jr. huallaga 247 ||san martín |||||042-562712 |ong_vmm_nc@hotmail.com 
abbainternationalsm@gmail.com |abba international - |jr. manuel arevalo orbel 375 ||san martín |||||948134444 / 942887651 |abbainternationalsm@gmail.com 
administracion@accionandina.pe |accion andina o.n.g.d. - |jr. garcilaso de la vega 755 ||ayacucho |||||(066) 312207 |administracion@accionandina.pe 
nelson_navarro001@hotmail.com |accion cristiana integral para el desarrollo - acid |av. iquitos nº 900 castillo grande ||huánuco |||||062-562982 |nelson_navarro001@hotmail.com 
ahsf@ahsfperu.org |accion humanitaria sin fronteras - |jr. francisco cornejo 275 ||lima |||||990051997|ahsf@ahsfperu.org 
adenin_2002@hotmail.com ||av. esteban campodonico 224 - of. 203 ||lima |||||460-9525 |adenin_2002@hotmail.com 
info@agedrusperu.org / kilder0303@yahoo.es |accion para la gestion y el desarrollo rural sostenible de peru - agedrus peru |av. horacio urteaga 1818, oficina 101 ||lima |||||461-0492 |info@agedrusperu.org / kilder0303@yahoo.es 
isabel.lopez@accionporlosninos.org.pe / |accion por los niños - |calle felix dibos 375, oficina 202 ||lima |||||407-1508 |isabel.lopez@accionporlosninos.org.pe / 
info@acsiperu.org |accion social e integracion - acsi |jr. ignacio seminario 169 zona b ||lima |||||991686551 / 989806464 |info@acsiperu.org 
va.gomez@gmail.com |accion social y desarrollo - asde |calle cahuide 313 ||arequipa |||||(054) 264458 |va.gomez@gmail.com 
info@accionydesarrollo.org |accion y desarrollo - |jr. tiahuanaco 654, 2do piso - urb. zarate ||lima |||||253-9128 |info@accionydesarrollo.org 
info@accioname.org |acciona microenergia peru - |jr. von humbolt 245 - urb. san luis ||cajamarca |||||(076) 366350 |info@accioname.org 
carla.laura@adra.org.pe / adra@adra.org.pe |peru |av. angamos oeste 770 ||lima |||||712-7700 |carla.laura@adra.org.pe / adra@adra.org.pe 
